DepartureCode,ArrivalCode,LowestPriceUSD,AveragePriceUSD,CheapestMonth
ORD,AKL,7174.6,7175,December,
FAO,AKL,3007.99,3008,December,
BHM,AKL,1829.63,1830,November,
YYZ,ALB,228.479,356,October,
DTW,ALB,215.05,351,October,
MYR,ALB,198.694,372,December,
ATL,ALB,179.016,318,November,
MCO,ALB,123.55,294,October,
DFW,ALB,212.226,314,October,
PIT,ALB,166.05,264,December,
DEN,ALB,185.05,331,November,
DAB,ALB,293.55,383,October,
RDU,ALB,156.1,300,December,
SFO,ALB,313.05,482,November,
ILM,ALB,183.699,310,December,
CLT,ALB,287.208,287,October,
PHX,ALB,188.889,280,October,
BHM,ALB,178.12,331,November,
LAS,ALB,216.05,384,October,
LAX,ALB,308.05,348,October,
MSP,ALB,380.7,381,November,
BUF,ALB,128.771,278,October,
IAH,ALB,194.417,405,October,
OAK,ALB,311.05,609,November,
ORD,ALB,179.05,269,October,
CHA,ALB,179.016,325,November,
SJC,ALB,213.28,520,November,
MCI,ALB,376.2,376,November,
TPA,ALB,124.38,240,October,
TOL,ALB,319.704,358,October,
YQG,ALB,535.55,879,October,
COS,ALB,389.906,416,November,
SNA,ALB,314.263,355,October,
MLB,ALB,287.154,499,October,
LGB,ALB,312.05,373,October,
SRQ,ALB,134.515,313,October,
YKF,ALB,488.159,629,October,
BUR,ALB,311.05,361,October,
RST,ALB,565.239,565,November,
CLL,ALB,288.461,461,October,
PSP,ALB,322.02,348,October,
HOU,ALB,243.55,525,October,
SJU,ALB,305.58,306,December,
GSP,ALB,333.857,334,October,
TUS,ALB,188.889,287,October,
ACT,ALB,381.288,382,October,
ONT,ALB,409.2,409,November,
BPT,ALB,236.918,469,October,
STC,ALB,475.696,476,November,
SBN,ALB,284.373,379,October,
PRC,ALB,459.509,634,October,
DFW,AMA,93.5912,174,October,
DAL,AMA,100.79,198,October,
LAX,AMA,179.73,333,November,
IAH,AMA,147.479,290,October,
BRO,AMA,193.65,251,October,
MFE,AMA,188.05,257,October,
TYR,AMA,215.08,300,October,
ACT,AMA,234.878,287,October,
ORD,AMA,176.05,320,November,
HOU,AMA,169.961,286,October,
BUR,AMA,180.05,340,November,
CLL,AMA,165.465,261,October,
BPT,AMA,165.465,301,October,
HRL,AMA,285.65,297,October,
SNA,AMA,179.73,341,November,
LGB,AMA,234.75,516,November,
GSO,AMA,702.955,703,November,
SBN,AMA,500.999,535,November,
RFD,AMA,464.523,465,July,
MDW,AMA,503.5,504,July,
ORD,AMD,889.4,1493,January,
EWR,AMD,724.18,1379,January,
JFK,AMD,724.18,1159,January,
YYZ,AMD,1038.05,1214,December,
IAD,AMD,857.88,1280,November,
LGA,AMD,953.352,1747,January,
DCA,AMD,970.98,1745,November,
ATL,AMD,1113.18,1897,October,
YOW,AMD,969.484,969,January,
LAX,AMD,1109.62,1360,November,
SEA,AMD,1007.92,1483,October,
TPA,AMD,1503.57,3220,December,
DTW,AMD,953.04,1167,November,
SAN,AMD,1381.61,1570,October,
PHL,AMD,733.347,1372,January,
IAH,AMD,1022.62,1083,October,
BWI,AMD,1071.45,1957,November,
LGB,AMD,1903.21,2044,November,
BNA,AMD,1269.44,1269,October,
PHX,AMD,1201.35,1456,February,
SFO,AMD,1193.34,1558,January,
XNA,AMD,1408.32,1408,January,
HOU,AMD,1343.8,1344,October,
SNA,AMD,1552.41,2040,October,
TOL,AMD,1634.25,1757,November,
CID,AMD,1324.31,1324,February,
HPN,AMD,1844.57,2084,December,
BOS,AMD,1634.06,1634,December,
BUR,AMD,1931.21,1982,November,
FNT,AMD,1785.28,1785,December,
PDX,AMD,1492.07,1790,February,
DFW,AMD,1107.66,1108,October,
OKC,AMD,1349.05,1349,October,
SBN,AMD,3186.51,4380,January,
BUF,AMD,1381.7,3313,January,
SJC,AMD,1449.57,1945,January,
SYD,AMD,1036.74,1037,April,
YVR,AMD,1262.18,1904,October,
OAK,AMD,1395.59,1767,January,
YKF,AMD,2378.94,2955,December,
YTZ,AMD,2744.22,2783,December,
CLD,AMD,2133.59,2217,October,
SDF,AMD,1755.82,1756,October,
TUS,AMD,1502.33,2208,February,
ROC,AMD,1577.68,1578,January,
TUL,AMD,1935.37,1935,January,
YUL,AMD,1039.16,1039,January,
SGF,AMD,1968.23,1968,January,
HSV,AMD,2034.36,2034,October,
BHM,AMD,1581.6,2107,January,
DAL,AMD,1682.45,1682,October,
CLL,AMD,1659.1,1659,October,
LAN,AMD,2479.82,2480,December,
SRQ,AMD,3255.06,7781,December,
MBS,AMD,4381.12,4381,December,
YYC,AMD,1846.63,1847,December,
MLI,AMD,1424.72,1425,February,
CHA,AMD,1578.86,1655,January,
DSM,AMD,1184.14,1184,February,
YQG,AMD,1292.02,1292,November,
BSL,AMM,297.68,298,October,
ZRH,AMM,307.472,307,October,
ROC,AMM,675,988,November,
YYZ,AMM,641.314,1013,November,
BUF,AMM,792.322,1015,November,
YTZ,AMM,968.497,1153,November,
CVG,AMM,1109.6,1110,February,
SFO,AMM,986.5,987,November,
LAX,AMM,864.33,864,November,
DFW,AMM,771,853,April,
IAH,AMM,772.77,773,May,
DTW,AMM,1001.95,1002,October,
MSY,AMM,995.38,995,November,
ORD,AMM,1186.59,1187,June,
YQG,AMM,1136.3,1136,October,
LGB,AMM,1203.12,1203,November,
ARN,AMM,569.2,569,October,
HOU,AMM,1160.35,1160,May,
DAL,AMM,939.96,2290,November,
TOL,AMM,1055.53,1056,October,
SNA,AMM,1048.74,1049,November,
BUR,AMM,1030.37,1030,November,
IND,AMM,1066.88,1067,February,
DAY,AMM,1106.33,1106,February,
SJC,AMM,1713.7,1714,November,
BTR,AMM,1105.81,1106,November,
OKC,AMM,1146.55,1165,November,
OAK,AMM,2431.48,2431,November,
GPT,AMM,1104.89,1105,November,
JFK,AMS,686.32,908,January,
YYZ,AMS,677.395,856,October,
EWR,AMS,844.865,1009,October,
BNA,AMS,1047.37,1098,April,
ATL,AMS,1002.67,1074,November,
IAD,AMS,474.81,880,October,
MCI,AMS,1059.84,1270,October,
LGA,AMS,1042.13,1142,January,
PHX,AMS,1039.43,1151,December,
LAX,AMS,589.99,1039,October,
DCA,AMS,1009.93,1334,October,
GRU,AMS,1073.2,1073,November,
SFO,AMS,600.96,1462,November,
VCP,AMS,1215.34,1215,November,
MCO,AMS,940.77,1036,November,
PDX,AMS,1136.63,1311,March,
PWM,AMS,854.6,945,January,
YUL,AMS,693.377,694,November,
PHL,AMS,1065.3,1274,May,
SAN,AMS,1244.4,1244,November,
FAR,AMS,1283.85,1284,May,
BDL,AMS,1046.55,1075,October,
SJC,AMS,1189.6,1298,November,
BWI,AMS,776.69,1092,October,
ORD,AMS,929.93,972,October,
CHA,AMS,1073.72,1236,November,
SLC,AMS,1087.89,2597,October,
CLT,AMS,868.955,1009,February,
SMF,AMS,1710.32,1710,June,
YQR,AMS,1072.57,1073,May,
MEM,AMS,922.87,1101,December,
HNL,AMS,1413.8,1445,November,
DEN,AMS,1219.68,1274,December,
FLL,AMS,1319.6,1480,June,
BOS,AMS,674.582,705,November,
ABZ,AMS,72.1277,128,December,
AUS,AMS,1022.24,1165,October,
OAK,AMS,1239.27,1450,November,
BUF,AMS,1068.66,1210,October,
MIA,AMS,982.73,1007,June,
MGA,AMS,1062.05,1062,October,
NCL,AMS,42.8255,115,November,
MAN,AMS,45.0236,106,October,
TUS,AMS,1189.65,1288,November,
LGW,AMS,43.6706,54,November,
HSV,AMS,1183.14,1229,December,
SEA,AMS,996.885,1090,March,
SNA,AMS,876.01,1309,October,
BHX,AMS,49.6881,89,November,
BRS,AMS,52.3229,93,November,
PER,AMS,1700.2,1700,December,
CLE,AMS,994.97,995,November,
BHD,AMS,72.8019,109,November,
DTW,AMS,1081.39,1139,October,
LHR,AMS,60.3768,80,November,
PVD,AMS,1062.22,1129,October,
LCY,AMS,44.9358,88,November,
DUB,AMS,36.5365,80,October,
SDF,AMS,606.16,1037,November,
IAH,AMS,1032.77,1033,May,
SJC,ANC,252.585,512,November,
FAT,ANC,249.75,515,November,
ATL,ANC,319.75,602,December,
SEA,ANC,221.026,414,October,
PSC,ANC,329.76,551,October,
SFO,ANC,239.75,389,November,
IAH,ANC,304.85,590,November,
DTW,ANC,419.76,640,October,
OGG,ANC,337.287,759,November,
YYZ,ANC,391,626,October,
PHL,ANC,236.459,410,January,
OAK,ANC,241.875,400,November,
DEN,ANC,292.74,566,October,
IND,ANC,314.75,550,November,
JFK,ANC,324.75,491,October,
LGA,ANC,314.75,481,October,
EWR,ANC,278.982,493,November,
YVR,ANC,315.47,534,November,
TUL,ANC,314.78,471,October,
PDX,ANC,229.25,543,October,
